Mobile Name,Price
"Realme Narzo 10 (That Green, 128 GB)","11,999"
"Realme Narzo 10 (That White, 128 GB)","11,999"
"Realme Narzo 10A (So White, 32 GB)","8,999"
"Realme Narzo 10A (So Blue, 32 GB)","8,999"
"Realme Narzo 10 (That Blue, 128 GB)","11,999"
"Realme Narzo 10A (So Blue, 64 GB)","9,999"
"Realme Narzo 10A (So White, 64 GB)","9,999"
"Realme C3 (Volcano Grey, 64 GB)","9,999"
"Realme C3 (Frozen Blue, 32 GB)","8,999"
"Realme 3 (Radiant Blue, 64 GB)","11,990"
"Realme 3 Pro (Lightning Purple, 128 GB)","16,999"
"Realme 6 (Comet Blue, 128 GB)","16,999"
"Realme 3 Pro (Nitro Blue, 64 GB)","13,999"
"Realme 3 Pro (Lightning Purple, 64 GB)","15,999"
"Realme 6 Pro (Lightning Orange, 128 GB)","18,999"
"Realme C12 (Power Silver, 32 GB)","8,999"
"Realme C12 (Power Blue, 32 GB)","8,999"
"Realme 6 Pro (Lightning Blue, 128 GB)","19,999"
"Realme C2 (Diamond Blue, 32 GB)","6,999"
"Realme 1 (Diamond Red, 32 GB)","11,900"
"Realme 1 (Black, 64 GB)","10,990"
"Realme 1 (Diamond Black, 32 GB)","11,990"
"Realme 1 (Diamond Red, 64 GB)","10,299"
"Realme 1 (Moonlight Silver, 128 GB)","10,990"
"Realme 1 (Diamond Black, 128 GB)","10,999"
"Realme 1 (Moonlight Silver, 32 GB)","10,999"
"Realme 6 Pro (Lightning Orange, 64 GB)","17,999"
"Realme 6 Pro (Lightning Blue, 64 GB)","17,999"
"Realme 5 Pro (Chroma White, 64 GB)","14,999"
"Realme 5 Pro (Chroma White, 128 GB)","16,999"
"Realme 5 Pro (Sparkling Blue, 128 GB)","16,999"
"Realme 5 Pro (Sparkling Blue, 64 GB)","14,999"
"Realme 5 Pro (Crystal Green, 128 GB)","16,999"
"Realme 5 Pro (Crystal Green, 64 GB)","14,999"
"Realme X3 (Arctic White, 128 GB)","24,999"
"Realme 6 Pro (Lightning Blue, 128 GB)","18,999"
"Realme 6 (Comet White, 128 GB)","16,999"
"Realme X2 Pro (Lunar White, 256 GB)","32,999"
"Realme X2 Pro (Neptune Blue, 256 GB)","32,999"
"Realme X2 Pro (Neptune Blue, 128 GB)","28,999"
"Realme X2 Pro (Lunar White, 128 GB)","28,999"
"Realme 6 Pro (Lightning Red, 128 GB)","18,999"
"Realme X3 (Glacier Blue, 128 GB)","25,999"
"Realme X2 (Pearl Green, 128 GB)","20,999"
"Realme X2 (Pearl White, 256 GB)","22,999"
"Realme X3 (Glacier Blue, 128 GB)","24,999"
"Realme X3 (Arctic White, 128 GB)","25,999"
"Realme X2 (Pearl Green, 64 GB)","17,999"
"Realme X2 (Pearl Blue, 256 GB)","22,999"
"Realme X (Space Blue, 128 GB)","17,999"
"Realme X (Space Blue, 128 GB)","20,999"
"Realme C15 (Power Silver, 64 GB)","10,999"
"Realme C15 (Power Blue, 64 GB)","10,999"
"Realme 3 Pro (Nitro Blue, 128 GB)","16,999"
"Realme 3 Pro (Carbon Grey, 64 GB)","15,999"
"Realme 3 (Black, 32 GB)","8,499"
"Realme 3 (Dynamic Black, 64 GB)","9,499"
"Realme 3 (Dynamic Black, 32 GB)","8,499"
"Realme 3 Pro (Carbon Grey, 128 GB)","16,999"
"Realme 3i (Diamond Black, 32 GB)","8,499"
"Realme 3i (Diamond Blue, 32 GB)","8,499"
"Realme C2 (Diamond Black, 16 GB)","6,499"
"Realme 5 (Crystal Blue, 32 GB)","9,999"
"Realme 5 (Crystal Purple, 32 GB)","9,999"
"Realme 3 Pro (Nitro Blue, 64 GB)","15,999"
"Realme 3 (Dynamic Black, 64 GB)","10,499"
"Realme 3 (Radiant Blue, 32 GB)","8,499"
"Realme 6i (Eclipse Black, 64 GB)","12,999"
"Realme C3 (Blazing Red, 32 GB)","8,999"
"Realme 3 (Radiant Blue, 64 GB)","10,499"
"Realme 3 (Diamond Red, 64 GB)","9,499"
"Realme 3i (Diamond Red, 32 GB)","8,499"
"Realme 5 (Crystal Blue, 64 GB)","10,999"
"Realme 3 (Diamond Red, 32 GB)","8,499"
"Realme 6 (Comet Blue, 128 GB)","15,999"
"Realme 1 (Silver, 64 GB)","11,490"
"Realme 5 (Crystal Purple, 128 GB)","11,999"
"Realme 3i (Diamond Red, 64 GB)","10,499"
"Realme 5 (Crystal Purple, 64 GB)","10,999"
"Realme 5 (Crystal Blue, 128 GB)","11,999"
"Realme 5i (Forest Green, 64 GB)","10,999"
"Realme 5i (Forest Green, 128 GB)","11,999"
"Realme 5i (Aqua Blue, 128 GB)","11,999"
"Realme U1 (Fiery Gold, 64 GB)","9,999"
"Realme 5i (Aqua Blue, 64 GB)","10,999"
"Realme C2 (Diamond Blue, 32 GB)","7,499"
"Realme C2 (Diamond Sapphire, 32 GB)","7,499"
"Realme C2 (Diamond Black, 32 GB)","7,499"
"Realme C2 (Diamond Ruby, 32 GB)","7,499"
"Realme C2 (Diamond Black, 32 GB)","6,999"
"Realme 5 Pro (Crystal Green, 64 GB)","13,999"
"Realme 5s (Crystal Red, 128 GB)","11,999"
"Realme 3i (Diamond Blue, 64 GB)","10,499"
"Realme 3 (Black, 64 GB)","10,499"
"Realme 3 Pro (Lightning Purple, 64 GB)","13,999"
"Realme 5 Pro (Sparkling Blue, 64 GB)","13,999"
"Realme 5s (Crystal Blue, 128 GB)","11,999"
"Realme 5s (Crystal Blue, 64 GB)","10,999"
"Realme 5s (Crystal Purple, 128 GB)","11,999"
"Realme 5s (Crystal Purple, 64 GB)","10,999"
"Realme 5s (Crystal Red, 64 GB)","10,999"
"Realme X2 Pro (Red Brick, 256 GB)","36,999"
"Realme X2 Pro (Concrete, 256 GB)","36,999"
"Realme X2 Pro (Lunar White, 64 GB)","26,999"
"Realme X2 Pro (Neptune Blue, 64 GB)","26,999"
"Realme X2 (Pearl Blue, 128 GB)","19,999"
"Realme X (Garlic, 128 GB)","20,999"
"Realme X2 (Pearl White, 128 GB)","19,999"
"Realme X2 (Pearl Green, 128 GB)","19,999"
"Realme X2 (Pearl Blue, 64 GB)","17,999"
"Realme X2 (Pearl Blue, 128 GB)","20,999"
"Realme X2 (Pearl White, 128 GB)","20,999"
"Realme X2 (Pearl Green, 256 GB)","22,999"
"Realme 6 Pro (Lightning Red, 128 GB)","19,999"
"Realme 3 Pro (Carbon Grey, 64 GB)","13,999"
"Realme X2 (Pearl White, 64 GB)","17,999"
"Realme 6 (Comet White, 128 GB)","15,999"
"Realme C15 (Power Silver, 32 GB)","9,999"
"Realme C15 (Power Blue, 32 GB)","9,999"
"Realme X (Super Polar White, 128 GB)","21,999"
"Realme X3 SuperZoom (Arctic White, 256 GB)","32,999"
"Realme X3 SuperZoom (Glacier Blue, 256 GB)","32,999"
"Realme X3 SuperZoom (Arctic White, 128 GB)","27,999"
"Realme X50 Pro 5G (Rust Red, 256 GB)","47,999"
"Realme X (Polar White, 128 GB)","20,999"
"Realme X3 SuperZoom (Glacier Blue, 128 GB)","27,999"
"Realme 6 Pro (Lightning Orange, 128 GB)","19,999"
"Realme XT (Pearl Blue, 64 GB)","16,999"
"Realme XT (Pearl White, 64 GB)","16,999"
"Realme 2 Pro (Black Sea, 128 GB)","15,490"
"Realme X50 Pro (Rust Red, 128 GB)","41,999"
"Realme C2 (Diamond Blue, 16 GB)","6,499"
"Realme 6 Pro (Lightning Red, 64 GB)","17,999"
"Realme X50 Pro (Moss Green, 256 GB)","47,999"
"Realme X50 Pro (Moss Green, 128 GB)","41,999"
"Realme 2 Pro (Ice Lake, 64 GB)","16,990"
"Realme X (Polar White, 128 GB)","17,999"
"Realme XT (Pearl Blue, 128 GB)","19,999"
"Realme XT (Pearl White, 64 GB)","17,999"
"Realme XT (Pearl White, 128 GB)","19,999"
"Realme 2 Pro (Blue Ocean, 128 GB)","15,490"
"Realme U1 (Brave Blue, 64 GB)","8,999"
"Realme XT (Pearl Blue, 64 GB)","17,999"
"Realme 2 (Diamond Blue, 32 GB)","9,990"
"Realme C1 (Mirror Black, 32 GB)","7,499"
"Realme C1 (Navy Blue, 32 GB)","7,499"
"Realme 2 (Diamond Red, 64 GB)","11,990"
"Realme C1 (Mirror Black, 32 GB)","8,499"
"Realme 2 (Diamond Blue, 64 GB)","11,990"
"Realme 2 Pro (Blue Ocean, 64 GB)","11,490"
"Realme 2 Pro (Blue Ocean, 64 GB)","11,490"
"Realme 2 Pro (Black Sea, 64 GB)","13,990"
"Realme 2 Pro (Black Sea, 64 GB)","11,490"
"Realme 2 (Diamond Red, 32 GB)","9,990"
"Realme C1 (Navy Blue, 16 GB)","6,999"
"Realme X (Onion, 128 GB)","20,999"
"Realme C1 (Navy Blue, 32 GB)","8,499"
"Realme U1 (Brave Blue, 64 GB)","9,999"
"Realme U1 (Ambitious Black, 64 GB)","9,895"
"Realme U1 (Fiery Gold, 64 GB)","10,799"
"Realme X50 Pro (Moss Green, 128 GB)","39,999"
"Realme X50 Pro (Rust Red, 128 GB)","39,999"
"Realme U1 (Brave Blue, 32 GB)","8,790"
"Realme 2 (Diamond Black, 64 GB)","11,990"
"Realme C1 (Mirror Black, 16 GB)","6,999"
"Realme 2 Pro (Ice Lake, 64 GB)","11,490"
"Realme 2 (Diamond Black, 32 GB)","9,990"
"Realme U1 (Ambitious Black, 32 GB)","8,285"
"Realme U1 (Fiery Gold, 32 GB)","8,490"
